Response ID,Rated Level,Correctness Bughunt 1,Timing Bughunt 1,Timing Correct Bughunt 1,Timing Incorrect Bughunt 1,Correctness Bughunt 2,Timing Bughunt 2,Timing Correct Bughunt 2,Timing Incorrect Bughunt 2,Correctness Bughunt 3,Timing Bughunt 3,Timing Correct Bughunt 3,Timing Incorrect Bughunt 3,Correctness Bughunt 4,Timing Bughunt 4,Timing Correct Bughunt 4,Timing Incorrect Bughunt 4,Correctness Bughunt 5,Timing Bughunt 5,Timing Correct Bughunt 5,Timing Incorrect Bughunt 5,Correctness Bughunt 6,Timing Bughunt 6,Timing Correct Bughunt 6,Timing Incorrect Bughunt 6,Correctness Bughunt 7,Timing Bughunt 7,Timing Correct Bughunt 7,Timing Incorrect Bughunt 7,Correctness Bughunt 8,Timing bug hunt 8,Timing Correct Bughunt 8,Timing Incorrect Bughunt 8,Correctness Bughunt 9,Timing Bughunt 9,Timing Correct Bughunt 9,Timing Incorrect Bughunt 9,Correctness Bughunt 10,Timing Bughunt 10,Timing Correct Bughunt 10,Timing Incorrect Bughunt 10,Correctness Bughunt 11,Timing Bughunt 11,Timing Correct Bughunt 11,Timing Incorrect Bughunt 11,Correctness Bughunt 12,Timing Bughunt 12,Timing Correct Bughunt 12,Timing Incorrect Bughunt 12,Correctness Bughunt 13,Timing Bughunt 13,Timing Correct Bughunt 13,Timing Incorrect Bughunt 13,Correctness Bughunt 14,Timing Bughunt 14,Timing Correct Bughunt 14,Timing Incorrect Bughunt 14,Correctness Bughunt 15,Timing Bughunt 15,Timing Correct Bughunt 15,Timing Incorrect Bughunt 15,Correctness Bughunt 16,Timing Bughunt 16,Timing Correct Bughunt 16,Timing Incorrect Bughunt 16,Kimchi refactor Timings ALL,Participant Self-Selected Proposal,Preference for 1,Preference for 2,Correctness of implementation (Any),Proposal 1 Implementation Correct,Proposal 1 Implementation Responded,Proposal 1 Implementation Timing Correct,Proposal 1 Implementation Timing Incorrect,Proposal 2 Implementation Correct,Proposal 2 Implementation Total Participants,Proposal 2 Implementation Timing Correct,Proposal 2 Implementation Timing Incorrect
8,0,,,,0,,,,0,,,,0,,38,,38,,,,0,,,,0,0,8,,8,,,,0,,,,0,,,,0,,,,0,,32,,32,,,,0,,,,0,,,,0,,,,0,14,,,,,,,,,,,,
9,2,,44,,44,,,,0,,,,0,,,,0,,,,0,,,,0,0,11,,11,,,,0,,,,0,,,,0,,,,0,,19,,19,,,,0,,,,0,,,,0,,,,0,15,,,,,,,,,,,,
11,0,0,49,,49,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,57,57,,,,,0,,,,0,,,,0,,,,0,41,,,,,,,,,,,,
26,0,1,153,153,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,79,79,,,,,0,,,,0,,,,0,,,,0,321,1,0,0,0,0,1,,321,0,0,,
27,1,,,,0,,,,0,,,,0,0,77,,77,,,,0,,,,0,1,255,255,,,,,0,,,,0,,,,0,,,,0,1,55,55,,,,,0,,,,0,,,,0,,,,0,122,1,1,0,1,1,1,122,,0,0,,
32,2,0,88,,88,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,68,68,,,,,0,,,,0,,,,0,,,,0,196,1,0,0,1,1,1,196,,0,0,,
33,2,,,,0,,,,0,,,,0,0,68,,68,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,73,73,,,,,0,,,,0,,,,0,,,,0,181,1,0,0,1,1,1,181,,0,0,,
35,1,1,120,120,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,115,115,,,,,0,,,,0,,,,0,,,,0,144,,0,0,,0,1,,144,0,0,,
38,1,,,,0,,,,0,,,,0,0,80,,80,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,34,34,,,,,0,,,,0,,,,0,,,,0,102,1,0,0,1,1,1,102,,0,0,,
42,2,1,70,70,,,,,0,,,,0,,,,0,,,,0,,,,0,1,103,103,,,,,0,,,,0,,,,0,,,,0,1,21,21,,,,,0,,,,0,,,,0,,,,0,108,2,0,1,0,0,0,,,0,1,,108
44,2,,,,0,,,,0,,,,0,0,85,,85,,,,0,,,,0,0,158,,158,,,,0,,,,0,,,,0,,,,0,1,15,15,,,,,0,,,,0,,,,0,,,,0,245,2,0,1,0,0,0,,,0,1,,245
45,1,1,112,112,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,42,42,,,,,0,,,,0,,,,0,,,,0,387,1,0,0,1,1,1,387,,0,0,,
46,1,,,,0,,,,0,,,,0,0,135,,135,,,,0,,,,0,0,145,,145,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,187,2,0,0,1,0,0,,,1,1,187,
47,1,1,147,147,,,,,0,,,,0,,,,0,,,,0,,,,0,0,54,,54,,,,0,,,,0,,,,0,,,,0,1,44,44,,,,,0,,,,0,,,,0,,,,0,522,1,1,0,1,1,1,522,,0,0,,
48,2,,,,0,,,,0,,,,0,0,102,,102,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,30,30,,,,,0,,,,0,,,,0,,,,0,411,1,0,0,1,1,1,411,,0,0,,
50,2,,,,0,,,,0,,,,0,1,55,55,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,30,30,,,,,0,,,,0,,,,0,,,,0,301,1,0,0,1,1,1,301,,0,0,,
54,0,,,,0,,,,0,,,,0,0,532,,532,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,50,50,,,,,0,,,,0,,,,0,,,,0,316,1,0,0,1,1,1,316,,0,0,,
59,1,1,215,215,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,41,41,,,,,0,,,,0,,,,0,,,,0,137,,0,0,,0,1,,137,0,0,,
63,1,1,180,180,,,,,0,,,,0,,,,0,,,,0,,,,0,0,116,,116,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,246,2,0,0,1,0,0,,,1,1,246,
64,2,,,,0,,,,0,,,,0,1,115,115,,,,,0,,,,0,,110,,110,,,,0,,,,0,,,,0,,,,0,1,39,39,,,,,0,,,,0,,,,0,,,,0,569,1,1,0,1,1,1,569,,0,0,,
66,1,1,92,92,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,55,55,,,,,0,,,,0,,,,0,,,,0,49,,0,0,,0,1,,49,0,0,,
70,2,1,498,498,,,,,0,,,,0,,,,0,,,,0,,,,0,1,726,726,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,391,2,0,0,1,0,0,,,1,1,391,
